x,NTD,RBD,FP,HR1,HR2
0,8.669660447,13.80188201,29.00395495,20.00272755,15.74500412
0.034478057,2.443267944,2.000272755,0,0,0
0.068956113,1.970377374,1.400190929,0,1.000136378,1.657368854
0.10343417,2.128007564,1.400190929,0,1.000136378,0.828684427
0.137912226,1.10341133,0.600081827,0,1.000136378,2.486053281
0.172390283,0.94578114,1.000136378,0,0,0
0.20686834,1.497486805,1.200163654,0,0,0.828684427
0.241346396,1.182226425,0.200027276,0,0,1.657368854
0.275824453,1.10341133,1.200163653,0,0,0
0.310302509,0.94578114,0.400054552,0,0,1.657368854
0.344780566,1.41867171,1.200163653,0,2.000272756,0.828684427
0.379258622,1.10341133,0.800109102,0,1.000136378,0
0.413736679,0.78815095,0.600081827,0,1.000136378,0
0.448214736,1.812747185,1.80024548,0,2.000272755,3.314737708
0.482692792,1.89156228,1.400190929,0,0,0